name;mfr;type;calories;protein;fat;sodium;fiber;carbo;sugars;potass
100% Bran;N;C;245,61;14,04;3,51;456,14;35,09;17,54;21,05;982,46
100% Natural Bran;Q;C;421,05;10,53;17,54;52,63;7,02;28,07;28,07;473,68
All-Bran;K;C;245,61;14,04;3,51;912,28;31,58;24,56;17,54;1122,81
All-Bran with Extra Fiber;K;C;175,44;14,04;0;491,23;49,12;28,07;0;1157,89
Almond Delight;R;C;385,96;7,02;7,02;701,75;3,51;49,12;28,07;-3,51
Apple Cinnamon Cheerios;G;C;385,96;7,02;7,02;631,58;5,26;36,84;35,09;245,61
Apple Jacks;K;C;385,96;7,02;0;438,6;3,51;38,6;49,12;105,26
Basic 4;G;C;342,96;7,91;5,28;554,02;5,28;47,49;21,11;263,82
Bran Chex;R;C;315,79;7,02;3,51;701,75;14,04;52,63;21,05;438,6
Bran Flakes;P;C;315,79;10,53;0;736,84;17,54;45,61;17,54;666,67
Cap'n'Crunch;Q;C;421,05;3,51;7,02;771,93;0;42,11;42,11;122,81
Cheerios;G;C;385,96;21,05;7,02;1017,54;7,02;59,65;3,51;368,42
Cinnamon Toast Crunch;G;C;421,05;3,51;10,53;736,84;0;45,61;31,58;157,89
Clusters;G;C;385,96;10,53;7,02;491,23;7,02;45,61;24,56;368,42
Cocoa Puffs;G;C;385,96;3,51;3,51;631,58;0;42,11;45,61;192,98
Corn Chex;R;C;385,96;7,02;0;982,46;0;77,19;10,53;87,72
Corn Flakes;K;C;350,88;7,02;0;1017,54;3,51;73,68;7,02;122,81
Corn Pops;K;C;385,96;3,51;0;315,79;3,51;45,61;42,11;70,18
Count Chocula;G;C;385,96;3,51;3,51;631,58;0;42,11;45,61;228,07
Cracklin' Oat Bran;K;C;385,96;10,53;10,53;491,23;14,04;35,09;24,56;561,4
Cream of Wheat (Quick);N;H;350,88;10,53;0;280,7;3,51;73,68;0;-3,51
Crispix;K;C;385,96;7,02;0;771,93;3,51;73,68;10,53;105,26
Crispy Wheat & Raisins;G;C;350,88;7,02;3,51;491,23;7,02;38,6;35,09;421,05
Double Chex;R;C;350,88;7,02;0;666,67;3,51;63,16;17,54;280,7
Froot Loops;K;C;385,96;7,02;3,51;438,6;3,51;38,6;45,61;105,26
Frosted Flakes;K;C;385,96;3,51;0;701,75;3,51;49,12;38,6;87,72
Frosted Mini-Wheats;K;C;350,88;10,53;0;0;10,53;49,12;24,56;350,88
Fruit & Fibre Dates; Walnuts; and Oats;P;C;336,84;8,42;5,61;449,12;14,04;33,68;28,07;561,4
Fruitful Bran;K;C;316,58;7,91;0;633,16;13,19;36,93;31,66;501,25
Fruity Pebbles;P;C;385,96;3,51;3,51;473,68;0;45,61;42,11;87,72
Golden Crisp;P;C;350,88;7,02;0;157,89;0;38,6;52,63;140,35
Golden Grahams;G;C;385,96;3,51;3,51;982,46;0;52,63;31,58;157,89
